Date,Close
39450.00,63.37
39449.00,62.57
39447.00,64.7
39444.00,65.28
39443.00,64.75
39442.00,65.53
39440.00,66.39
39437.00,65.5
39436.00,63.6
39435.00,64.39
39434.00,63.5
39433.00,61.75
39430.00,64.6
39429.00,66.4
39428.00,67.5
39427.00,64.96
39426.00,67.41
39423.00,68.41
39422.00,69.45
39421.00,68.39
39420.00,65.92
39419.00,65.83
39416.00,66.33
39415.00,65.42
39414.00,66.4
39413.00,64.6
39412.00,62.2
39409.00,62.4
39407.00,61.61
39406.00,65.3
39405.00,64.97
39402.00,67.94
39401.00,67.64
39400.00,69.49
39399.00,69.69
39398.00,65.63
39395.00,68.66
39394.00,69.54
39393.00,70.9
39392.00,73.85
39391.00,70.01
39388.00,71.4
39387.00,71.34
39386.00,74.76
39385.00,72.25
39384.00,74.16
39381.00,73.11
39380.00,69.95
39379.00,67.81
39378.00,68.62
39377.00,67.17
39374.00,67.45
39373.00,70.15
39372.00,69.6
39371.00,68.6
39370.00,70.51
39367.00,72.05
39366.00,72
39365.00,72.22
39364.00,72
39363.00,71.2
39360.00,71.94
39359.00,70.93
39358.00,70.55
39357.00,71.9
39356.00,70.82
39353.00,68.06
39352.00,68.9
39351.00,68.32
39350.00,67.38
39349.00,68.1
39346.00,67.56
39345.00,66.6
39344.00,67.42
39343.00,66.29
39342.00,64.02
39339.00,64.52
39338.00,64.24
39337.00,62.89
39336.00,63.61
39335.00,62.28
39332.00,62.67
39331.00,64.36
39330.00,63.2
39329.00,64.7
39325.00,64.1
39324.00,62.4
39323.00,63.12
39322.00,59.55
39321.00,60.85
39318.00,62.14
39317.00,60.87
39316.00,60.76
39315.00,58.18
39314.00,58.64
39311.00,58.5
39310.00,56.28
39309.00,58.47
39308.00,60.4
39307.00,62.3
39304.00,62.15
39303.00,63
39302.00,66.21
39301.00,64.56
39300.00,64.35
39297.00,62.03
39296.00,64.33
39295.00,64.4
39294.00,65.97
39293.00,66.6
39290.00,64.15
39289.00,65.4
39288.00,68.95
39287.00,67.95
39286.00,69.4
39283.00,67.87
39282.00,67.43
39281.00,66.75
39280.00,67.7
39279.00,67.65
39276.00,68.6
39275.00,67.5
39274.00,65.49
39273.00,64.79
39272.00,65.66
39269.00,65.2
39268.00,63.83
39266.00,62.85
39265.00,62.01
39262.00,60.3
39261.00,60.45
39260.00,60.24
39259.00,59.71
39258.00,60.35
39255.00,60.49
39254.00,62.22
39253.00,61.24
39252.00,62.35
39251.00,62.18
39248.00,61.9
39247.00,61.27
39246.00,59.91
39245.00,58.78
39244.00,59.29
39241.00,59.9
39240.00,58.7
39239.00,58.96
39238.00,59.8
39237.00,60.05
39234.00,59.25
39233.00,58.1
39232.00,57.45
39231.00,56.95
39227.00,56.9
39226.00,55.8
39225.00,56.8
39224.00,56.87
39223.00,56.3
39220.00,55.91
39219.00,56.1
39218.00,56.68
39217.00,55.55
39216.00,55.85
39213.00,56.4
39212.00,55
39211.00,56.21
39210.00,55.35
39209.00,55.41
39206.00,54.65
39205.00,55
39204.00,54.52
39203.00,53.5
39202.00,53.06
39199.00,53.56
39198.00,54.01
39197.00,54.15
39196.00,53.96
39195.00,53.71
39192.00,53.89
39191.00,53.07
39190.00,53.55
39189.00,53.49
39188.00,54
39185.00,53.78
39184.00,53.82
39183.00,52.57
39182.00,52.68
39181.00,52.74
39177.00,52.43
39176.00,52.25
39175.00,52.12
39174.00,51.35
39171.00,50.57
39170.00,50.87
39169.00,49.75
39168.00,50.18
39167.00,50.62
39164.00,50.66
39163.00,50.65
39162.00,51.69
